ID,Name,rate,total_rate,Poster
tt0000001,Carmencita (1894) ,5.7,"1,625","https://m.media-amazon.com/images/M/MV5BZmUzOWFiNDAtNGRmZi00NTIxLWJiMTUtYzhkZGRlNzg1ZjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000002,Le clown et ses chiens (1892) ,6.1,196,"https://m.media-amazon.com/images/M/MV5BZDI4ZDgwMWQtMjA3ZS00NmU5LTk5MGQtZTMyMGFlMjYyZmFlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR24,0,182,268_AL_.jpg"
tt0000003,Pauvre Pierrot (1892) ,6.5,"1,315","https://m.media-amazon.com/images/M/MV5BNGRkODFmNjYtYjU2Yy00YTI1LWFlYzgtNGE0YTdmNjI0ZDk0XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000004,Un bon bock (1892) ,6.2,119,"https://m.media-amazon.com/images/M/MV5BOGI5NjI1NjMtMjg4Mi00YTQyLThkYjgtNTI1YjlhNzZkOTZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR16,0,182,268_AL_.jpg"
tt0000005,Blacksmith Scene (1893) ,6.1,"2,095","https://m.media-amazon.com/images/M/MV5BNDg0ZDg0YWYtYzMwYi00ZjVlLWI5YzUtNzBkNjlhZWM5ODk5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000006,Chinese Opium Den (1894) ,5.2,113,"https://m.media-amazon.com/images/M/MV5BZjNlZTI1NjYtNjVkZi00MDBlLThjMDQtY2Q2NDZiZjllYmE3XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR77,0,182,268_AL_.jpg"
tt0000007,Corbett and Courtney Before the Kinetograph (1894) ,5.4,644,"https://m.media-amazon.com/images/M/MV5BODA4ZTI3NWYtNzAyYi00Yjc5LTk0NDUtZWIzNzQzYzdkODgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0000008,Edison Kinetoscopic Record of a Sneeze (1894) ,5.4,"1,787","https://m.media-amazon.com/images/M/MV5BNzFkN2JkNjEtZDZhNi00NmVmLTg4YWUtOGMzZWQ4NzFmZWI0XkEyXkFqcGdeQXVyMDEyNzY3OA@@._V1_UY268_CR85,0,182,268_AL_.jpg"
tt0000009,Miss Jerry (1894) ,5.9,153,"https://m.media-amazon.com/images/M/MV5BNjA5Y2ZhYzctNDc1Yy00OGViLWI3NGUtOTYwZmE3NDFiYmIxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR72,0,182,268_AL_.jpg"
tt0000010,La sortie de l'usine Lumière à Lyon (1895) ,6.9,"5,955","https://m.media-amazon.com/images/M/MV5BOGUxOWUxZjMtZWUzZS00NTM0LTgzY2ItNTU2ZWY2NDNmNjE0XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000011,Akrobatisches Potpourri (1895) ,5.2,255,"https://m.media-amazon.com/images/M/MV5BNDhhMDVhMjUtYjA3MS00NjVhLWI3MTYtZjM5NjMyNDdjNjI0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000012,The Arrival of a Train (1896) ,7.4,"10,150","https://m.media-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000013,Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon (1895) ,5.7,"1,553","https://m.media-amazon.com/images/M/MV5BOWFmNDcxOWEtNzI1OC00OGRhLWIzYjYtMmM3YmMxY2VmOTI1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR76,0,182,268_AL_.jpg"
tt0000014,L'arroseur arrosé (1895) ,7.2,"4,433","https://m.media-amazon.com/images/M/MV5BNGNjMDkzNDAtOGI1NS00MGIyLWFkZjgtYWNkYzhlZWYwMmIzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000015,Autour d'une cabine (1894) ,6.1,800,"https://m.media-amazon.com/images/M/MV5BMGFjNWM4N2ItM2QyNy00YWRmLTgzMzItMjc0N2RjMjdlODdhXkEyXkFqcGdeQXVyMzQ5MjE2ODI@._V1_UY268_CR73,0,182,268_AL_.jpg"
tt0000016,Barque sortant du port (1895) ,5.9,"1,178","https://m.media-amazon.com/images/M/MV5BOTU5YzI1MWEtMmZmZS00N2U2LThiODktODM1NDQwZTZkNDE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000017,Italienischer Bauerntanz (1895) ,4.7,238,"https://m.media-amazon.com/images/M/MV5BMmQ5NTVhODgtZTVmZS00ZjhjLWE0YWYtMTk5M2U0ZGFhNjZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR99,0,182,268_AL_.jpg"
tt0000018,Das boxende Känguruh (1895) ,5.3,472,"https://m.media-amazon.com/images/M/MV5BMGI3NDY2NmUtZmYwNi00OThhLWFhZWUtNmNiMTU3NzJmYmVkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR95,0,182,268_AL_.jpg"
tt0000019,The Clown Barber (1898) ,5.3,18,"https://m.media-amazon.com/images/M/MV5BMGI3NDY2NmUtZmYwNi00OThhLWFhZWUtNmNiMTU3NzJmYmVkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR95,0,182,268_AL_.jpg"
tt0000020,The Derby 1895 (1895) ,5,262,"https://m.media-amazon.com/images/M/MV5BODBkMmI0NDMtM2Y0Zi00YTU1LWJiODktZTJlYTkxNjA5ZWU0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000022,Les forgerons (1895) ,5.1,871,"https://m.media-amazon.com/images/M/MV5BNTU3ZjQ4ZmUtNDlmOC00YWM1LTg0MDUtMTBkOGYwMGYwZjdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000023,Baignade en mer (1895) ,5.7,"1,121","https://m.media-amazon.com/images/M/MV5BODBiN2QxZjktZmMwZi00NWY3LWI0NjktZmE5MzUwMzIyZDNjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000024,Opening of the Kiel Canal (1895) ,4.6,47,"https://m.media-amazon.com/images/M/MV5BNWNhYTg2M2EtYjQ2Ni00ZGEzLTkxNTctZDBkNWZjMDA5YTEzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR80,0,182,268_AL_.jpg"
tt0000025,The Oxford and Cambridge University Boat Race (1895) ,4.1,28,"https://m.media-amazon.com/images/M/MV5BOGFiZjVkYmYtYjkwZC00NWY0LWI0MGItYWYyNzNlMDNlN2Y2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR99,0,182,268_AL_.jpg"
tt0000026,Partie d'écarté (1896) ,5.7,"1,294","https://m.media-amazon.com/images/M/MV5BNGI0OTA4ODItMTE2My00OTNkLTk2MjYtZTcwZjRkOWVmMWU5XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000027,Place des Cordeliers à Lyon (1895) ,5.6,911,"https://m.media-amazon.com/images/M/MV5BNmZlNjdmMDUtNzY4ZC00Nzc3LTg0NDQtNmU2YjM3NTc4NmJjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR11,0,182,268_AL_.jpg"
tt0000028,La pêche aux poissons rouges (1895) ,5.2,844,"https://m.media-amazon.com/images/M/MV5BYTNkN2I5MGUtMWVmOS00OWE5LWE4ZDMtZjE1NjJiODJkNDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000029,Repas de bébé (1895) ,5.9,"2,815","https://m.media-amazon.com/images/M/MV5BM2Q0ZDhkM2EtODFlOC00NzRiLWJhMmYtMmI0ZWQ0ZTdmMzBmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000030,Rough Sea at Dover (1895) ,5.2,677,"https://m.media-amazon.com/images/M/MV5BOWFhNTM4MmYtMTBjZi00MWMyLWEyMjYtNjAwODcyM2U2NzM1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0000031,Le saut à la couverture (1895) ,5.6,819,"https://m.media-amazon.com/images/M/MV5BOGFiZDkxODAtMzZlYy00YzE4LTk2MzAtZmE1MzYyODliYjUyXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000032,Die Serpentintänzerin (1895) ,5.1,334,"https://m.media-amazon.com/images/M/MV5BYzEzMGUyNjQtNTRjZC00OGY1LThmMTYtM2UwM2Q0ZWM3NzE2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000033,La voltige (1895) ,5.6,844,"https://m.media-amazon.com/images/M/MV5BY2Q4YzE4ZDYtZTQxMC00N2QzLWE3YTgtYjI0NzIyNjdhZTVkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR88,0,182,268_AL_.jpg"
tt0000034,Arrivée d'un train gare de Vincennes (1896) ,5.4,125,"https://m.media-amazon.com/images/M/MV5BMmY0MThkYmItNjE4Yy00MjdmLTlkZmQtY2VlNDljMmE5ZDY4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000035,L'arroseur (1896) ,5.5,57,"https://m.media-amazon.com/images/M/MV5BYWY1Mjc5YjktZWM3NC00NzM4LWI4MjctZGVjYjUyYjA0ZTU4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000036,Awakening of Rip (1896) ,4.4,488,"https://m.media-amazon.com/images/M/MV5BZWM1OGIxYzYtMzI1ZC00NDZmLWEzNmMtOTc2Y2JjNTQ0NDAyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0000037,Baignade en mer (1896) ,4.6,41,"https://m.media-amazon.com/images/M/MV5BMzY5MDE4ZGUtMzE2Mi00YWMxLTk3YTctNzY4MTdmNDc5ZWFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000038,The Ball Game (1898) ,4.1,148,"https://m.media-amazon.com/images/M/MV5BMTU1Y2QxMWMtOGE2Ny00MWE5LWI2YTctOWU2MTQxNThhMzUzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000039,Barnet Horse Fair (1896) ,3.7,14,"https://m.media-amazon.com/images/M/MV5BMTU1Y2QxMWMtOGE2Ny00MWE5LWI2YTctOWU2MTQxNThhMzUzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000040,Barque sortant du port de Trouville (1896) ,4.2,37,"https://m.media-amazon.com/images/M/MV5BZTA1MTFhMTYtMmE3Mi00ZjQzLTkxOGQtNTEzZTk4NDZkOTIzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000041,Bataille de neige (1897) ,6.6,"1,381","https://m.media-amazon.com/images/M/MV5BZmNlZGU4MDMtNmQzNS00ZGNlLWEzZjctZTUwNjRhZDc5NDllXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UY268_CR87,0,182,268_AL_.jpg"
tt0000042,Bateau-mouche sur la Seine (1896) ,4.5,22,"https://m.media-amazon.com/images/M/MV5BYjgwMjI3YzktNGZlNC00NmFlLWE0MzUtOGFjN2I3MmNiMjUzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000043,Batteuse à vapeur (1896) ,3.6,13,"https://m.media-amazon.com/images/M/MV5BNmY5MmI4MzEtOWUwNS00MzI0LWI2MzAtYjY2YTc3ZGRkNWMwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000044,Le bivouac (1896) ,4.6,28,"https://m.media-amazon.com/images/M/MV5BZjViODAyMjktNTRkOC00NDk1LTllZWUtOWM4ZjY3ZDBhODNkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000045,Les blanchisseuses (1896) ,4.5,17,"https://m.media-amazon.com/images/M/MV5BNzBjZjI4YjYtNGIyOC00ZDQyLTg0OTctN2U2YmUyMjJiZTQzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000046,Bois de Boulogne (1896) ,4.2,17,"https://m.media-amazon.com/images/M/MV5BZWM2N2MzMGMtNzNkNi00OTc2LTg5NDQtNWViNTA2MGIwNmFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000047,Boulevard des Italiens (1896) ,3.6,16,"https://m.media-amazon.com/images/M/MV5BYTU4MDhhNDAtNDNhOS00ZjRiLTk4OTQtOWQwNTkwN2I2MGNlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000048,The Boxing Kangaroo (1896) ,4.9,122,"https://m.media-amazon.com/images/M/MV5BYWExYWNmNzQtODQwNS00OTcxLTk4NDMtYjBhNDQ0ZDJjZWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR147,0,182,268_AL_.jpg"
tt0000049,"Boxing Match; or, Glove Contest (1896) ",5.3,24,"https://m.media-amazon.com/images/M/MV5BNjQ0YzQwYjctMTljYi00MzhmLTliMGUtMTY2NzE3MjgzYzYzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR147,0,182,268_AL_.jpg"
tt0000050,Bébé et fillettes (1896) ,4.2,14,"https://m.media-amazon.com/images/M/MV5BYjBjMDRjYmEtODFiNy00NjJhLTk0ZjktMDQ3NmVkNDRmMzc2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000051,Campement de bohémiens (1896) ,3.7,15,"https://m.media-amazon.com/images/M/MV5BYTE5ZGFjNWMtYzE2NC00ZGMzLTk3N2YtMzJhNjFiMmY1NmU1XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000052,Carga de rurales (1896) ,4.6,56,"https://m.media-amazon.com/images/M/MV5BMzAwYjlhYWEtNjcwOC00MmE4LWE4ZTAtZGVmMjNmOWMwYmYxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR106,0,182,268_AL_.jpg"
tt0000053,A Chegada do Comboio Inaugural à Estação Central do Porto (1897) ,2.8,8,"https://m.media-amazon.com/images/M/MV5BMzAwYjlhYWEtNjcwOC00MmE4LWE4ZTAtZGVmMjNmOWMwYmYxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR106,0,182,268_AL_.jpg"
tt0000054,Les chevaux de bois (1896) ,5.2,19,"https://m.media-amazon.com/images/M/MV5BZTdmZTMyMjEtODI3YS00ZWJlLWEwMWItYzFlYTc4OTc5MWZiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000055,Le chiffonnier (1896) ,3.6,16,"https://m.media-amazon.com/images/M/MV5BNGYzOWFiZDQtNDllNS00NWZmLTljMjEtNDgxMzJkYzczYzY3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000056,Uma Corrida de Touros no Campo Pequeno (1896) ,3.2,11,"https://m.media-amazon.com/images/M/MV5BNGYzOWFiZDQtNDllNS00NWZmLTljMjEtNDgxMzJkYzczYzY3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000057,Cortège de tzar allant à Versailles (1896) ,4.3,15,"https://m.media-amazon.com/images/M/MV5BOGQ2YTdhMjYtZTI5OS00MDljLWE0NDYtMmNjZjNiNjQ3N2I5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000058,Cortège de tzar au Bois de Boulogne (1896) ,4.2,14,"https://m.media-amazon.com/images/M/MV5BNjcwNjY4NDgtODY3Yi00MmQ0LTk4YzktNWJkNTk0ZmEyMDMxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000059,Couronnement de la rosière (1896) ,3.5,14,"https://m.media-amazon.com/images/M/MV5BNjYxYjgxNWYtMWZiOC00YTJlLThhMzItMTVlZDZlZTM4ZDA4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000060,Dancing Darkies (1896) ,7.6,61,"https://m.media-amazon.com/images/M/MV5BNjYxYjgxNWYtMWZiOC00YTJlLThhMzItMTVlZDZlZTM4ZDA4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000061,Dancing Girls (1896) ,4,13,"https://m.media-amazon.com/images/M/MV5BNjYxYjgxNWYtMWZiOC00YTJlLThhMzItMTVlZDZlZTM4ZDA4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000062,Danse serpentine (1896) ,6.5,157,"https://m.media-amazon.com/images/M/MV5BMjdhODcyMDQtOGQzYy00YTk5LTlmMTAtYjE2NjkyYTZlZDc1XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000063,Dessinateur express (1896) ,3.5,13,"https://m.media-amazon.com/images/M/MV5BNmQxNzJkNjctNDdhZi00NjliLTg0NTgtMmY4ODkzYmM3NTg4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000064,Dessinateur: Chamberlain (1896) ,3.2,13,"https://m.media-amazon.com/images/M/MV5BYjRiMWQ2ZTItNmY4MS00NzM0LTk1NmUtZTI4ODJmYzQwYjE4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000065,Dessinateur: Reine Victoria (1896) ,3.3,13,"https://m.media-amazon.com/images/M/MV5BMTViMjU5NGUtNDM3Yy00ZGQ3LTk3YTktMWJmYWFmMjVjNTViXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000066,Dessinateur: Von Bismark (1896) ,3.2,13,"https://m.media-amazon.com/images/M/MV5BZGUxMmJiZjEtMDdkNC00MGMzLWI3MTItOTJiYmNhOGM0Mjk5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000067,Dix chapeaux en 60 secondes (1896) ,5.8,41,"https://m.media-amazon.com/images/M/MV5BZjIwN2UwODctZDY3OC00OGYxLWIxZWQtYmVhMzBjZGFiM2QyXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000068,Déchargement de bateaux (1896) ,3.7,12,"https://m.media-amazon.com/images/M/MV5BM2NjNDgwOTgtYTFjYS00ZDljLTgwNDktNjNmNzA3NWVkMzE5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000069,Défense d'afficher (1896) ,4.9,343,"https://m.media-amazon.com/images/M/MV5BMTUxZmQzZjAtODM3NC00YWUyLWE2NmEtODAxODZmOGEzYzQwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000070,Démolition d'un mur (1896) ,6.4,"2,225","https://m.media-amazon.com/images/M/MV5BNGViNzJkZWYtYzYxNi00YTU3LTg4MWMtOGJmM2RmMGY2ZTU1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0000071,Départ des automobiles (1896) ,3.5,15,"https://m.media-amazon.com/images/M/MV5BMGEwNGFmZmQtYTQxYS00N2M0LWI1MmQtMTg1OGY3ZmQ1NDM0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000072,Départ des officiers (1896) ,4.2,14,"https://m.media-amazon.com/images/M/MV5BMzY1NDY3YjAtN2U0OS00NTdmLThmYjAtNzgwZGUxMDQzMzU0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000073,Effets de mer sur les rochers (1896) ,3.7,12,"https://m.media-amazon.com/images/M/MV5BYjFjODlhY2MtZWVhMy00NzYwLWFmZWEtYTU0OGViMDRjMmYwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000074,Enfants jouant sur la plage (1896) ,4.2,15,"https://m.media-amazon.com/images/M/MV5BNTYyNzdiYWQtYjNjNi00NmU0LWI5MDktY2NjMjA4NDQyNjk0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000075,Escamotage d'une dame au théâtre Robert Houdin (1896) ,6.3,"1,532","https://m.media-amazon.com/images/M/MV5BNGRhNTcxMDMtYTMyMi00ZTIxLThiOWUtMTgwZDA2Njk4YTFjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0000076,Exit of Rip and the Dwarf (1896) ,4.5,425,"https://m.media-amazon.com/images/M/MV5BZGZkYTJhZmQtNTY0NC00OWI2LWIwODUtNTM2ZGQzZmE0ZjgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_UY268_CR9,0,182,268_AL_.jpg"
tt0000077,"Le fakir, mystère indien (1896) ",4.8,18,"https://m.media-amazon.com/images/M/MV5BOGY0ZWRhYWYtYzMxYy00MmUyLTkxNmQtZjZhYWRhNDdlNzQ4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000078,Feira de Gado na Corujeira (1896) ,4.2,48,"https://m.media-amazon.com/images/M/MV5BMDEzMDU1NTMtOWEwYi00MGMxLTkzYzItYzdiYTcwNTdkNzhlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR95,0,182,268_AL_.jpg"
tt0000079,La gare Saint-Lazare (1896) ,4.4,17,"https://m.media-amazon.com/images/M/MV5BOTUyYjgzNWYtOGY0OC00N2M5LWE3YTQtMjZlZGM4ZTg5M2I4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000080,Grandes manoeuvres (1896) ,4.1,13,"https://m.media-amazon.com/images/M/MV5BZmFlZWZkZTUtMGZkZS00NjlkLWIxNGMtZWI2OWZhZmI3OTY0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000081,Les haleurs de bateaux (1896) ,4.1,14,"https://m.media-amazon.com/images/M/MV5BM2ZlYjA4NmItZTYxYy00MGFiLTg3MWUtNzZmYjE1ODZmMThjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000082,A Hard Wash (1896) ,4.8,24,"https://m.media-amazon.com/images/M/MV5BNDlkNzgyZjgtNGNkZS00YjU1LTgwNGQtZmE1MDNkODk3NDg2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR88,0,182,268_AL_.jpg"
tt0000083,Les indiscrets (1896) ,4.7,18,"https://m.media-amazon.com/images/M/MV5BZTI1MmZjNzUtMzNhNy00ZmFjLTg4ZjMtY2Q5ZDZjN2JkYTRkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000084,Les ivrognes (1896) ,4.4,15,"https://m.media-amazon.com/images/M/MV5BODE1YTc5OTgtNmU0Mi00YjlkLWExYmEtZmMwOWUwYWQyOTJiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000085,Jardinier brûlant des herbes (1896) ,4.8,16,"https://m.media-amazon.com/images/M/MV5BNWQwODg2MjgtZTNiNy00MTY3LTg1NzItODdkZGE5Njk4Mzg2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000086,Jetée et plage de Trouville (1er partie) (1896) ,4.1,14,"https://m.media-amazon.com/images/M/MV5BNzdmZjgzMmQtNWNmYS00NTIzLTkxYjctNmUxYmJlMDAzZDk4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0000087,Jetée et plage de Trouville (2e partie) (1896) ,4.8,18,"https://m.media-amazon.com/images/M/MV5BMzc0NzBiODgtZjM2NS00M2JlLWIyODItMmEwYzRlMTc0NjkxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_UY268_CR10,0,182,268_AL_.jpg"
